,PVMATH,PVREAD,PVSCIE,PVMCCR,PVMCQN,PVMCSS,PVMCUD,PVMPEM,PVMPFS,PVMPIN,PVMPRE
130,1,1,1,1,1,1,1,1,1,1,1
131,1,3,2,1,1,2,2,1,2,1,1
132,3,4,3,3,3,3,3,3,3,4,3
133,2,1,1,1,2,2,1,2,1,1,2
134,4,4,4,4,4,4,4,4,4,4,4
135,1,1,1,1,1,1,1,1,1,1,1
136,1,1,1,1,1,1,1,1,1,2,1
137,4,4,4,4,4,4,4,4,4,4,4
138,2,2,2,2,2,2,2,2,2,2,2
139,2,3,2,2,3,3,2,2,2,2,3
140,1,1,1,1,1,1,1,1,1,1,1
141,2,2,1,1,2,2,2,2,2,2,1
142,1,1,1,1,1,1,1,1,1,1,1
143,3,4,3,3,3,3,3,3,3,4,3
144,3,2,3,3,3,3,3,2,2,3,3
145,4,4,4,3,3,3,3,4,4,3,3
146,4,4,4,4,3,4,4,4,4,4,4
147,4,4,4,4,4,4,4,4,4,4,4
148,2,3,3,2,3,2,2,2,2,2,3
149,3,3,3,3,3,2,3,3,3,3,2
150,3,4,2,3,3,3,3,3,3,3,3
151,2,3,2,2,2,2,3,2,2,2,2
152,3,4,3,4,4,3,3,4,4,4,3
153,4,4,4,4,4,4,4,4,4,4,4
154,2,2,2,2,2,2,1,2,2,2,2
155,3,2,2,3,3,3,3,3,4,4,3
156,1,1,1,1,1,1,1,1,1,1,1
157,1,1,2,2,1,2,1,2,2,1,1
158,3,3,4,3,4,3,4,4,4,4,3
159,1,1,2,2,1,1,1,1,2,1,1
160,1,2,1,1,2,2,1,2,2,1,1
161,3,3,3,3,3,3,3,3,3,3,3
162,3,2,3,3,3,3,3,3,3,3,3
163,3,4,3,3,3,3,4,3,3,3,3
164,3,2,2,3,3,3,2,3,3,2,3
165,4,4,4,4,4,4,4,4,4,4,4
166,1,1,1,1,1,1,1,1,1,1,1
167,1,1,1,2,2,2,2,2,2,1,2
168,4,4,4,4,4,4,4,4,4,3,4
169,1,1,1,1,1,1,1,1,1,1,1
170,1,1,1,1,2,1,1,1,1,1,1
171,3,2,3,3,3,3,3,3,3,3,3
172,2,2,2,2,2,2,2,2,2,2,2
173,4,4,3,3,3,4,4,4,3,4,4
174,3,4,4,3,3,3,3,4,3,3,3
175,2,3,2,2,2,2,2,2,2,2,2
176,2,1,2,2,2,2,2,1,2,1,2
177,4,4,4,4,4,4,4,4,4,4,4
178,1,1,1,1,1,1,1,1,1,1,1
179,4,3,4,4,3,3,4,3,3,4,3
180,1,1,1,2,1,1,1,2,2,1,1
181,2,3,2,2,2,2,3,2,2,2,2
182,3,4,3,3,3,3,3,3,3,3,3
183,2,3,2,2,2,2,2,2,2,2,2
184,4,4,3,4,4,4,3,4,3,3,3
185,2,2,2,2,2,2,2,2,2,2,2
186,3,4,4,3,3,3,3,3,4,3,4
187,4,4,4,4,4,4,4,4,4,4,4
188,4,4,4,4,4,3,4,4,4,4,3
189,1,2,2,1,1,1,1,1,1,1,1
190,4,3,3,4,4,4,4,4,4,4,4
191,1,1,1,1,1,1,2,1,1,1,1
192,3,3,4,3,2,3,3,3,3,3,3
193,2,2,1,1,2,2,2,2,1,2,2
194,1,1,1,1,1,1,1,1,1,1,1
195,3,2,3,2,3,2,3,3,2,2,3
196,2,2,1,2,2,2,2,2,2,2,2
197,4,4,4,4,4,4,4,4,4,4,4
198,3,3,3,3,3,2,3,3,2,3,2
199,4,4,4,4,4,4,4,4,4,4,4
200,3,3,4,3,3,3,4,3,3,4,3
201,1,1,1,1,1,1,1,1,1,1,1
202,2,2,2,3,3,3,2,2,2,2,3
203,1,1,1,1,1,1,1,1,1,1,1
204,4,3,3,4,4,3,4,4,4,3,4
205,3,4,3,3,3,4,3,4,3,4,4
206,1,1,1,1,1,1,1,1,1,1,1
207,1,1,1,1,1,1,1,1,1,1,1
208,2,2,3,2,2,2,2,2,2,2,2
209,1,2,1,1,1,1,2,2,1,1,1
210,4,2,4,4,4,4,4,4,4,3,4
211,4,3,4,3,3,4,4,3,3,3,4
212,1,1,1,1,1,1,1,1,1,1,1
213,3,4,3,3,4,3,4,3,4,4,3
214,3,4,3,3,4,3,4,3,4,3,3
215,3,3,2,3,2,2,2,2,2,3,2
216,1,1,1,1,1,1,1,1,1,1,1
217,2,3,2,2,2,2,2,2,2,2,2
218,3,3,3,3,3,4,3,3,3,3,3
219,2,3,3,2,3,2,3,3,2,3,3
220,1,1,1,2,2,1,1,2,1,1,2
221,4,4,4,4,3,4,3,3,4,3,3
222,2,1,1,2,2,2,2,2,2,3,2
223,4,4,4,4,4,4,4,4,4,4,4
224,2,2,3,3,2,1,1,2,2,2,1
225,2,2,2,2,2,2,2,2,2,2,2
226,4,4,3,4,4,4,4,4,4,4,4
227,4,4,4,4,4,4,4,4,4,4,4
228,4,3,4,4,4,4,4,4,4,4,4
229,4,4,4,4,4,4,4,4,4,4,4
230,2,3,2,3,3,2,2,3,3,3,2
231,2,3,2,2,2,2,2,2,2,1,2
232,2,1,1,2,2,2,2,2,2,2,2
233,2,3,2,2,2,2,2,2,2,2,2
234,2,2,2,2,2,2,2,3,2,3,2
235,1,1,1,1,1,1,1,1,1,1,1
236,2,4,2,2,2,2,2,2,2,3,2
237,3,2,3,2,3,2,2,3,3,3,2
238,2,3,3,2,1,2,2,2,1,2,2
239,3,3,4,3,3,4,3,3,3,3,4
240,1,1,2,1,1,2,2,1,2,1,2
241,4,4,4,4,4,4,4,4,4,4,4
242,3,3,3,2,3,3,3,3,3,3,3
243,2,2,2,2,2,1,2,2,2,2,2
244,3,3,3,3,3,3,3,3,3,3,3
245,3,1,2,3,3,2,2,3,3,2,3
246,4,4,4,4,4,4,4,4,4,4,4
247,2,3,2,3,2,2,3,3,2,2,3
248,4,3,3,4,4,3,4,3,4,3,3
249,2,1,2,1,1,2,1,2,1,2,1
250,4,4,4,4,4,4,4,4,4,3,4
251,4,4,4,4,4,3,3,4,4,4,3
252,1,1,1,1,1,1,1,1,1,1,1
253,1,1,1,1,1,1,1,1,1,1,1
254,4,4,4,4,4,4,4,4,4,4,4
255,3,3,2,3,3,3,3,3,3,3,3
256,1,1,1,1,1,1,1,1,1,1,1
257,3,2,3,3,4,3,4,4,3,3,3
258,3,3,3,3,3,3,3,3,3,2,3
259,3,4,2,3,3,3,2,3,3,2,3
260,3,2,3,2,3,2,2,3,2,3,2
261,1,1,1,1,1,1,1,1,1,1,1
262,4,4,4,4,4,4,4,4,4,4,4
263,1,1,1,1,1,1,1,1,1,1,1
264,1,2,1,1,1,1,2,1,1,1,1
265,2,2,3,2,2,2,2,2,2,1,2
266,1,1,1,2,1,2,1,1,1,1,1
267,3,2,3,3,3,3,3,3,3,3,3
268,1,1,1,1,1,1,1,1,1,1,1
269,2,3,2,1,2,1,1,2,2,2,2
270,3,2,2,2,3,3,3,2,3,2,3
271,1,1,1,1,1,1,1,1,1,1,1
